date,SPY,IEF,BTC-USD,ETH-USD,PSP,REET,WTMF,FMF,COMT,GLD
2017-12-01,237.0764617919922,90.6247100830078,14156.400390625,756.7329711914062,39.90982437133789,19.76125144958496,28.92832374572754,41.09086990356445,17.781373977661133,123.6500015258789
2018-01-01,251.71798706054688,88.94931030273438,10221.099609375,1118.31005859375,44.0057258605957,19.664100646972656,29.10890007019043,42.22099685668945,19.37234687805176,127.6500015258789
2018-02-01,242.56544494628903,87.97628784179688,10397.900390625,855.198974609375,41.59580612182617,18.370508193969727,28.61772918701172,41.05520248413086,18.62057113647461,125.0
2018-03-01,234.9754638671875,88.99934387207031,6973.52978515625,396.4570007324219,39.747108459472656,18.79916000366211,28.559947967529297,41.35099411010742,18.881391525268555,125.79000091552734
2018-04-01,237.13592529296875,87.85099029541016,9240.5498046875,669.9240112304688,41.265411376953125,19.182024002075195,28.819982528686523,41.902740478515625,19.7021541595459,124.58999633789062
2018-05-01,242.90040588378903,88.70111083984375,7494.169921875,577.64501953125,40.994815826416016,19.630640029907227,28.856096267700195,41.50234603881836,20.14841079711914,123.0999984741211
2018-06-01,243.20523071289065,88.8680191040039,6404.0,455.1799926757813,40.52127456665039,19.84720230102539,28.77663803100586,42.22480010986328,20.035568237304688,118.6500015258789
2018-07-01,253.34767150878903,88.40935516357422,7780.43994140625,433.8670043945313,42.49699020385742,20.279691696166992,28.79109001159668,41.68512344360352,19.90306282043457,115.98999786376952
2018-08-01,261.4345092773437,89.29581451416016,7037.580078125,283.0039978027344,42.80394744873047,20.600849151611328,29.34726333618164,43.31283950805664,19.65086555480957,113.51000213623048
2018-09-01,261.80377197265625,88.2160415649414,6625.56005859375,232.84800720214844,41.95127868652344,19.75487899780273,29.4411563873291,43.87862777709961,20.036884307861328,112.76000213623048
2018-10-01,244.8152313232422,87.94786834716797,6317.60986328125,197.3809967041016,38.507110595703125,19.48376846313477,29.188350677490234,42.63389587402344,19.171932220458984,115.1500015258789
2018-11-01,249.35638427734372,89.10614776611328,4017.2685546875,113.17141723632812,38.08893585205078,20.21931266784668,28.98611068725586,41.68512344360352,18.162879943847656,115.54000091552734
2018-12-01,226.08067321777344,91.42093658447266,3742.700439453125,133.36825561523438,34.882911682128906,18.72424697875977,27.99655532836914,39.75276565551758,15.777386665344238,121.25
2019-01-01,245.60794067382807,92.40097045898438,3457.792724609375,107.0610122680664,38.71619415283203,21.073543548583984,28.6447696685791,39.64433288574219,18.312854766845703,124.75
2019-02-01,253.56948852539065,91.72257995605467,3854.785400390625,136.74624633789062,39.79648971557617,21.138164520263672,29.041261672973636,39.52950668334961,18.682640075683597,123.98999786376952
2019-03-01,257.027099609375,94.17552185058594,4105.404296875,141.51409912109375,39.90103149414063,21.582416534423828,29.093629837036133,39.5825080871582,18.8134880065918,122.01000213623048
2019-04-01,268.7056579589844,93.67476654052734,5350.7265625,162.16603088378906,42.16615676879883,21.653152465820312,29.512563705444336,39.90050506591797,18.864688873291016,121.1999969482422
2019-05-01,251.5699462890625,96.53459930419922,8574.501953125,268.1135559082031,39.90103149414063,21.579723358154297,28.42034149169922,38.45183181762695,17.670000076293945,123.33000183105467
2019-06-01,267.77349853515625,97.71403503417967,10817.1552734375,290.69598388671875,41.608585357666016,21.759206771850582,28.27071762084961,38.831661224365234,18.602996826171875,133.1999969482422
2019-07-01,273.1440734863281,97.77204132080078,10085.6279296875,218.65414428710935,42.04539489746094,22.06272315979004,28.34552764892578,39.24683380126953,18.463045120239254,133.2100067138672
2019-08-01,268.57080078125,101.633544921875,9630.6640625,172.46978759765625,41.58607864379883,22.66435813903809,29.24324607849121,40.00651550292969,17.544843673706055,143.75
2019-09-01,272.5380249023437,100.43810272216795,8293.8681640625,179.87220764160156,41.76274108886719,23.14237594604492,28.47270774841309,39.36167526245117,17.943071365356445,138.8699951171875
2019-10-01,279.84881591796875,100.64151000976562,9199.5849609375,183.9669189453125,43.63856887817383,23.864614486694336,28.12857818603516,39.03483581542969,18.07960700988769,142.42999267578125
2019-11-01,289.9787902832031,99.9526596069336,7569.6298828125,152.53968811035156,45.11357116699219,23.59011459350586,27.84430313110352,38.831661224365234,18.16892433166504,137.86000061035156
